,review/text
414,I loved the first book. the secondone I read in a day. I could not put it down. Ash really suprised me
415,"Let me start by saying that this was a great book like a lot of other Smith fans do hope that this book does have a sequel because i really really what to know what happens with Ash and Mary. I have read all the Night World book up to Witchlight, and for those of u how are tired of the soulmate principal then don't read the books! This is my fav book out of the N.W. series,(along with Soulmate) but i hope that Ma'lin changes her mind and desides to become a vampire. anyway if u people like romace, action, and humor then read this book. end"
416,"This has got to be one of my favorite books of the series and I have all of them but one. Mary-Lynette is one of my favorite characters in the series. I love the whole idea of vampires, witches, and shapeshifters existing. I love looking at the stars like she does. If you enjoy this book, you HAVE to read the other books in the series."
417,"This has got to be the best book I have ever read in my entire life. I thought it was really different how Mary-Lynette and Ash tried to ignore the fact that they were soulmates, and it made the story much more interesting to read. Personally, I never would have guessed that it was Jeremy who had killed the girls aunt 'cause he seemed like a relly nice guy, but I guess you should never judge a book by its cover. I really wish that there was a sequel to this book 'cause I really want to find out what happens with Ash and Mary-Lynette. This is definately the best Night World book - although they are all excellent. ~Mary"
418,"I loved this book so much! I couldn't put it down for a minute. I've read almost all of the Nightworld series, but this by far is the best. The humor and the romance that brings Ash and Mary-Lynette together is great. The ending was kind of sad though. I would definitely read any sequels to this book. I hope that there is one. For those people who think the soulmate principle is getting old, I disagree. The author should keep the theory, but add a few new twists or plots to provide conflict and interest."
419,"This was the first book that I read in the series and I loved it! I've read it about ten times. It's such a great book. I like how Ash is suddenly turned into a complete sap after meeting his Mary-Lynette. Did anyone notice that in the other two appearances that he made (in Dark Angel and Soulmate), he talks about his soulmate? Just something to think about."
420,"This book beats all other books printed in the age of humanity. I love the fact that she made Ash sound so sweet, even tough in the book Secret Vampire he sounded like a meany. She makes them sound so real I'm looking for people with black flowers on an item of their clothing. I'm actually looking for vampies!"
421,"I usually hate teenage romance books, but this book is great. I love the transition the characters go through and the romance. This is my favorite Night World beacuase of its characters and sitiuations. She mixes charm, romance, and humor. This book feels like real, even though it is horror, which makes you wonder. My favorite line in the book is &quot;This is a paranormal disaster area!&quot;"
422,"This book was outstanding! I couldn't put it down for a second! I could really understand and identify with the characters. I love how it all leads up to something, and the irony is great."
423,"This book was outstanding! I couldn't put it down for a second! I could really understand and identify with the characters. I love how it all leads up to something, and the irony is great."
424,"I have read all of the Night world series up to number 9 (10 isn't out yet) and i really did like this one the best. I liked the rivalry between Ash and Jeremy, but don't think it should really be that severe. How could the two races get along, even if the vamps were more powerful, or the wolves are stupid? I have to admit the only corny part is the fact that the two pairs of soulmates are related. I just really liked this book, and think it is the best yet. I do want to see what happens to all of them later on, like say at the begining of the the battle to save the world. I just want to come back to see that Mary-Linnette and Mark are vamps, etc."
425,"I just loved this book, like tons of other people. It was a perfect match-up:Mary-Lynette and Ash. Jade and MArk. Very cool!! I liked Kestrel the best and wished she could be featured in her own book. I like the family history and all that. L.J has really thought all this out it seems. I also the like the plot and clonficts and how it's rexolved. I am glad that Mary-Lynette is going to do her own thing for the time being. I do reasllly want to know what happens with them though."
426,"I asked my sister one day to go and buy all the L.J SMITH titles I don't have.She is my favorite author because she is original and her books are spellbinding.Anyways, I got the NIGHT WORLD books. I read THE SECRET VAMPIRE and I really loved it. Then I read DAUGHTHERS OF DARKNESS and loved it more. I am a hopeless romantic and I love stories about adventure and death. I like the way she mixes both of them together without going overboard. She is my favorite author but I really wish that she could make her books come out monthly.And I wish that she could include other stories besides the soulmate principal. Like maybe a vampire killer as the main character.A totally wicked character that loves to kill. Maybe she could bring us what she feels goes through a killer's mind. There's a lot of other ways she could make us love her books,maybe if she described the NIGHT WORLD more. Maybe stopping and making the females a lot stronger instead of pitiful weaklings. Maybe they should be open-minded about becoming a vampire.Anyways, she's my favorite author and I love her books."
427,"It was dangerously funny. It mixed love in horror in a way Ithought never possible. I LOVE the character Ash. Actually, all thecharacters were facinating with a touch of there own. I hate the books that all the characters have the same, identical personalities to the point you're about to throw-up and this was not one of them,. My favorate part was when the sisters are hissing at Ash and Mary-Lynnette goes right up to him and kicks him in the shin and she descrides that her brother stared at her as if she had just stripped down naked and started to dance the Tango. END"
428,"I was sceptical about this book at first, I had never read L. J. Smith before, but my friend told me to read it and let me borrow her's. It was soo good. That was about a year ago. I have now read up to Black Dawn in the Night World series, and can't wait for more. I recomended these books to my other friends and they loved them too. I recomend ANY L. J. Smith books to anyone."
429,"I was sceptical about this book at first, I had never read L. J. Smith before, but my friend told me to read it and let me borrow her's. It was soo good. That was about a year ago. I have now read up to Black Dawn in the Night World series, and can't wait for more. I recomended these books to my other friends and they loved them too. I recomend ANY L. J. Smith books to anyone."
430,Daughters of Darkness is the best yet!! I happened to pick it up by mistake in the Library and I Got hooked right away! I must have read it 50 times!! I loved the way Ash Tried to protect her from Jermey but she saved herself. I really hope there's another book on those two!
431,"Excellent. The best pair of soulmates yet. Ash is LJ Smith,s sexiest character."
432,"If I could, I would rate this book an 11. It was L. J. Smith's best ever. I have read up to Black Dawn and can't wait for the next: Whitchlight."
433,"I just re-read Daughters of Darkness for about the 100th time and I just enjoy it more every time I read it. It has everything that you could want and more. Just one questionAre Mary-Lynnette and Ash ever going to find happiness together or will they be forced to spend their lives apart, longing for the one person who can make their life complete?To find out keep reading!!"
434,"I've ready all the Night World books up to date, and this, I must say, is my favorite. All the characters are so realistic! They're people I can relate to and want to meet.Happy reading and happy hunting"
435,I totally love Ash...but as for the rest of the book..it was ok...there was a false clue in the book about who the bad guy really was...the one about the short blunt sticks...and also the whole vampire thing sounded like a wannabe christopher pike thing...especially the whole idea about &quot;forgetting&quot;...anyway...i love ash and i'd definitely read it again just to read about his character...i love all these misunderstood guys...
436,i really liked this book although it's only the second nightworld book i've read... it is really interesting and it's definitely worth reading!!!i'm wondering why it's so hard to find this series in Singapore.
437,This was my favorite book until I read Huntress. It's so good. All of the characters are so well written. Ash is divine! M P &amp; M M A.
438,"Oh, gosh, Im in love with Ash! Pick me, Ash, please? Mary-Linnette didnt like you the way you were anyway...."
439,"I have loved all the Night World series, and this is another great installation! I loved Ash so much in this book. The entire series is great, but &quot;Daughters of Darkness&quot; definitely ranks within the Top 3 of the series!"
440,"This bok has got to be L.J. Smith's best yet! I couldn't put it down, and Ash is the best male character she's introduced yet!! I hope that there will be a sequel where Ash and Mary-Lynnette are reunited. THIS BOOK IS A MUST READ!!!"
441,"This book was so amazing! Mary-Lynnette is a character who I can really relate to, myself being obssessed with astronomy also. I loved Ash, almost as much as I do Julien from the Forbidden Game Trilogy. L.J. Smith is a terrific writer!"
442,I love Lisa Jane Smith's books! I especially like the way she carries the soulmate principle throughout all of the &quot;Night World&quot; series. I really liked this book and I think anyone who reads it will too.
443,"I loved this book very much!It was excellent.I absoloutly fell in love with Jeremy.He was such a sweet,nice guy.I thought it was unfair that he died.The last few times I read this book I had tears streaming down my face.I really don't think he was crazy just misunderstood.This is a must read book. Once you pick it up you can't put it down."
444,"It was a good book. But the thing I don't understand is how Mary-Lynnette and Mark drank Kestral, Jade and Rowan's blood while being human. Yecch!. On top of that the blood tasted sweet and smelled like Vanilla. Gimme a break!"
445,"I loved the action part!! Also, sometimes I wished Mary-Lynette could just embrace the fact that she loves Ash! I could fall in love with Ash myself! haha!"
446,"Daughters of DarknessL.J. Smith1996I continue to be surprised by how overally well-written the ""Night World"" books are, collectively. For young people in particular, they are quality fiction.Three young female vampires come to tiny Briar Creek, Oregon, to live with their also-vampire elderly aunt, but homicide is the word of the day, and curious neighbors Mark and Mary-Lynette quickly find themselves ensconced in the dangerous waters of the Night World -- and the even more unpredictable currents of love.I didn't quite like ""Daughters"" as much as ""Secret Vampire"", the first book in the series. The tale had a bit less... urgency... than its predecessor, and while I did like the redemption of Ash, bad-boy blonde from the first novel, the character development was again a little underexplored. But the world-building is pleasant and well-done, without info-dumping on young readers with potentially short attention spans.Again I can't help but wonder what a greater length could have done for the series -- ""Daughters' ""plot is a bit simplistic. The ending felt... unsatisfying.But without doubt worth a read, as I will wager the entire series will be.6.8/10"
447,"I have read nearly all of the books in the Night-world series, and I have to say that this one is my favourite, without a doubt! It is Ash of course that just makes this book, he is irrestible, I became hooked on him from the very first, I guess it's the whole 'bad-boy' vampyre thing he's got going on that you become addicted to him! I started reading these books years ago, but they went out of print, I would love to get the last few if anyone has any idea how I can get them! I would recommend these books to anyone of any age, I mean I'm 21 now, and I still love them!"
448,"It was this book nearly 10 years ago that made me fall in love with L.J. Smith and her writing. I have read nearly everything by her in the years after my first encounter with Daughters of Darkness, yet this book remains dear to my heart. The characters pop out of the pages and you fall in love instantly with Rowan, Jade, and Kestrel...but you will especially fall in love with Ash. Look for Ash again in the 6th book of the series when he makes another appearance. This book is fantastic!"
449,LJ smith is a fantastic author who inspires others to create stories and poetry that shows their true brilliance. Daughters of Darkness has a special quality about it which induces feeling of love and adventure all at the same time. I would not be surprised if people respond well to this novel!
450,"I thought this story was amazing, even better than the first. I was happy to see Ash return and a lot of charecter development happen to him. He's now one of my favriote charecters. And Mary-Lynette is definatly a strong Female charecter! If your looking for some twisted Night World romance this is the book to read. It's full of vampires and magic unlike ever before!"
451,"Truthfully, I first started getting into L.J. Smith's bookswith Vampire Diaries, but this book puts itself at the top of my listof cool books. Most of the appeal is in the way Mary-Lynette treats Ash Redfern. At first she REALLY doesn't like him, but after a while she realizes he's her soulmate, though their relationship doesn't magically become all right."
452,"I think this book is one of the greatest of all times! I havn't read any other L.J. Smith's books but out of all the books I've read, this is the top on my list. It was romantic but funny. I hope L.j. smith goes back to the writing... V.S. Read it!"
453,"this book is kinda different from the other ones. why? because there are two couples of the soulmate thing. rowan, kestrel, and jade (who finds their aunt murdered)has moved next door to mary-lynette and mark. later, ash, their brother comes along. together, the two families try and find out who has killed Aunt Opal. meanwhile jade and mark are instantly attracted and mary-lynette and ash are slowly, but strongly pulled together too, but they sort of have problems since their characters sort of clash. ne wayz, it's really good book. read it!"
454,i think that this is probebly to me the best night world book i have read. My favourite characters were probebly Kestral and Ash but they were all really good characters. i think this book is a brilliont read and recomend it to any one its kind of a romantic horror. I really enjoyed this book it was the first night world book i read and now i'm hooked so if you buy the book i hope you enjoy it.
455,"DAUGHTERS OF DARKNESS was the first book by L. J. Smith that Iread and I was hooked after that! I loved the way L. J. Smithdescribed all the characters, especialy Ash, and gave them all completely different personalities. This is, by far, one of the best books I've ever read and I can't wait for STRANGE FATE to come out. For anyone who is looking for another good series by L. J. Smith I suggest the Vampire Diaries and Dark Visions trilogies."
456,This book was great and I just loved Ash. It should have 5 stars from everyone. And you have to read it. It was great. I did not like what happened to Jeremy but it was still the best book in the Night World series! It keeps you reading to the end. You will not put it down. I hope you read it for your sake. So read it!!
457,"Jade, Kestrel, and Rowan, three vampire sisters, have left their home in secrecy. Tired of living in a society that acts as though it's stuck in the 16th century, they decided to go live with their great-aunt. Unfortunately, she's been staked, and they have no idea who did it. Things are further complicated when Ash, their brother, comes to take them back. Ash gets something of a shock, however - he finds his soulmate in the small town of Briar Creek, and she's human.If you've read the first Night world book, you'll remember Ash. Believe it or not, he gets even better in this book. It's hilarious watching the usually confident Ash try to figure out how to deal with the reality of having a human soulmate (one who kicks him at every opportunity). This book is different from all the other Night World books, in that the soulmates here do not like each other and would like to find a way not to have that bond. I consider Ash to be one of the more complex characters in the series, and this book peels away a lot of the layers. Mary-Lynnette, his soulmate, is great, because she doesn't just let Ash walk all over her - she talks back, and, like I said, she kicks him a lot. The mystery element of the book is pretty interesting, and I liked the three sisters, although the author doesn't really go into as much depth with their characters as you might think she does from what the back of the book says. This book is less about the sisters and more about the murder, Ash, and Mary-Lynnette."
458,"Personally, I feel this book is the best in the Night World series, because I love the character Ash. He is such a hottie, though he has many personality flaws and actions to be ashamed of. That just makes him a more realistic character. Mary-Lynette and the rest of the characters are well thought-out also, and I hope to read about them in the future. This is my favorite series of L.J. Smith's, because in incorporates all creatures of the night. I look forward to reading Huntress and Black Dawn, since I've read all the other Night World books numerous times already, to indulge my fantasy craving mind. My only disappointment is that there are no shapeshifter soulmates. They must be just as intriguing as witches and vampires. And why can't I find Volume one of the Vampire Diaries anywhere? That series must be out of print, though it isn't old"
459,"Daughters of Darkness is the second book in the Night World series and centres around three groups of people - Mark and Mary Lynette Carter, two siblings who are wannabe astronomers, Rowan, Kestral and Jade Redfern, three vampire sisters escaping the confining life their previous home the vampire conclave, and Ash Redfern, their elder brother who's come to drag them home and successfully has L.J. Smith fans swooning in the aisles.It is an interesting premise, and things start to heat up when the girls arrive at their great-aunt Opal Burdock's house in Briar Creek only to find her staked through the heart. Panicking, they bury the body in the garden outside, but are witnessed by Mary-Lynette who's watching the stars on the hill overlooking the house. Doubtful that Mrs Burdock is really dead, Mary-Lynette and her brother nevertheless investigate, and come across the vampire sisters hunting in the wood...However, because Mark and Jade fall pretty fast for each other a truce is made and the sisters share their fears with the two siblings - something is out there, something that's killing things, and all of them work their dectective skills to figure out who it is ... Ash? Bunny Marten, the shop attendant with the lamia name? Jeremy, the garage worker with a deep, dark secret? A vampire hunter?And then Ash turns up, and to his and Mary-Lynette's horror, they find they are soulmates, destined to be together even though Ash is not a very nice guy.The story is pretty interesting, and it's fun to guess whodunnit, though I admit I was a *little* disappointed as to the murderer's motives. L.J. Smith obviously had fun designing the three sisters, all with different personalities and features. For once there wasn't a contrived happy ending that is so popular in L.J. Smith's books, and the atmosphere of the book was very well done too - the desert-like Briar Creek gave a sense of being trapped in the middle of nowhere with a wild beast on the loose, and chemistry between all the characters was realistic, poignent, and sometimes funny. (Watch out for Ash giving Jeremy a hard time).All in all, this was a much better book than the first 'Secret Vampire', which extented the Night World a bit, and mingled together characters that have been in previous books (Ash) and characters who'll appear in future ones (Quinn)."
460,"Book 2 of the Night World series, Daughters of Darkness, shifts focus to a new set of characters of the secret society. Relatives of James from the first book, we meet Rowan, Kestrel, and Jade. They are three vampire sisters who snuck away from home. Tired of the secret society, they want to try to live as humans out in Oregon. They move into a dilapidated old home, next to Mark and Mary-Lynette Carter. As Jade and Mark get closer, their brother Ash comes to town to bring his sisters back. Of course, he meets Mary-Lynette and things get interesting...Ash, the handsome blondie who we remember from the first book as being a conniving, selfish, and manipulative, experiences a bit of growth in this book. In the first book you would have never thought it would happen, but I was glad to see the character development.What I like about the Night World books is that while you could read each book separately as a stand-alone, it's great to see prior plot lines and character weaved into the current story. It makes you feel even more connected to the story and the world.These books are short reads, but I find them pretty satisfying because the plot moves along and it focuses on what you really want to see."
461,"Mary-Lynnette's wants seem simple enough. She likes her quiet life, stargazes as a hobby, bases her life around becoming an astronomer, and hopes the three new girls moving in next door with the kindly, if eccentric, Mrs. Burdock will help to bring her shy brother, Mark, out of his shell.Unfortunately, what she ends up with is a murder mystery, romance she doesn't want, and oh, yeah, those three new girls are vampires with a dangerous older brother coming to drag them back home.There are a LOT of characters to focus on, as per usual with a murder mystery. We have Mary-Lynnette, Mark, the three sisters Rowan, Kestrel, and Jade, their brother Ash, and the local werewolf, Jeremy. And those aren't even the suspects. The endless supply of characters in such a short amount of pages is a little overwhelming, with so many aspects of so many characters not fully explored. But what really gets the reader, even the fans of over ten years, is the star-crossed attraction between Mary-Lynnette and Ash.It's a bumpy road, to put it lightly. Mary-Lynnette is a simple, if nosy, human girl, while Ash is a dangerous, well-known vampire--and not well-known in the good sense, in Mary-Lynnette's book. Understandable; in Secret Vampire and Daughters of Darkness it's implied he's killed human girls and worse. There are very subtle hints at sexual abuse toward human females that younger readers may miss, but the words are enough to paint a picture that Ash is Very Bad.Many fans complain at the ending, but it is the ending that keeps them so captivated with these two. Mary-Lynnette wants to finish high school. She can't see herself with Ash as he is now, knowing his past. Ash is sorry and wants to repent, by the end of the novel, but wanting isn't enough. Mary-Lynnette is dealing with a soulmate who is potentially mentally unstable, definitely cruel, and by all human means, a classified felon (if he could be traced, that is).L.J. Smith did well in ending the story with no conclusion (which she has promised the fans would come at the end of the series for years; ten years later and still nothing). Ash needs room to grow in order to be someone Mary-Lynnette will not regret willingly falling in love with.This is a good book, by no means the best, but excellent for the series. It was the second book I read (no, Secret Vampire was not the first) and ultimately the one that got me hooked.Here's to hoping the Mary-Lynnette/Ash fans get closure in the near future. Publishers, don't keep faithful fans in suspense!"
462,"I, LOVE this book. It is by far the best of L.J.Smiths Night World books. I can only find one flaw. No-one, and i mean no-one would just let a hunky guy like Ash just walk away? I mean Come On! As if. OK so what he's done some bad things but hey, you'll get over it. What if something happens to him while he's away and the last thing you said was ""nice line"". But okay that's fine, you wanna let him go? OK. But when do we get to find out if and when he and Mary Lynette get back together? That's just mean not telling us that. But besides that downfall the book was excellent and I love the way L.J.Smith described how they all turned really beautiful after they had fed. Heeheehee.Neways gotta go, hope you all enjoy/d the book as much as I did.Jess"
463,"This is my favorite book in L.J. Smith's uniformly excellent Night World Series. I've read it about a million times, and it never gets tired. I love the romance between Mary Lynette and Ash. The idea of soulmates is very exciting, and the scenes between the two of them are perfect. My favorite part is when Mary Lynette quotes Pride and Prejudice and Ash responds the same way, shocking her. Sigh. If you haven't read this book, get thee to a bookstore, a library, whatever and start right away!"
464,"In Daughters of Darkness, LJ Smith outdoes herself. Three beautiful sisters hide a deadly secret that threatens to be discovered by the inhabitants of a sleepy town. Rowan, Kestrel and Jade are on the run - from their families and from the Elders. They know that their brother Ash (James' cousin from Secret Vampire) is seeking them and that he is bent on returning them to the boring life they have led.Two siblings chance upon their secret and find themselves befriending vampires. As they learn more about the Night World, their own lives are turned upside down by a sickening deed. Who or what is it that stalks Briar Creek?Fantastic! I enjoyed this book immensely with its portrayal of two very different and yet similar families. The obvious difference is the species but the vampire girls have never had true freedom before while Mary-Lynette and Mark have lived their lives in a small town in the country. The similarities lie in the older sisters. Both fiercely protective of their siblings, they will do anything to keep them from harm.I loved the conflict between Ash and M'Lin, especially when they first meet. The story progressed well and unlike some stories, had a more convincing ending, rather than the sudden death of the baddie. This was one of my favourites in the series and I am still waiting anxiously for Strange Fate, which is the 10th."
465,"I've read all of L.J Smiths books up until TheHuntress,which of course isn't out yet,and Ihave to say, that Daughters of Darkness wasprobably the best Night World so far. I'mobsessed with Ash,and Mary-Lynette was just awesomeANYBODY AND EVERYBODY MUST READ THIS BOOK"
466,"Daughters of Darkness is quite possibly the best book in the new NIGHT WORLD series by L. J. Smith. It does not just revolve around one supernatural being or one singular person, it has interesting information on the werewolves of the NIGHT WORLD and the plot line is out of sight. I own all of the books in the series (Up untill Soulmate that is) and so far Daughters of Darkness is the best one. I only hope the following books in this wonderful series are as great as this one!!"
467,"This second book in the Night World series does not compare with the first, but is good in it's own right. The three sisters are intriguing, and Ash, who was introduced in the first book, does a turnabout and becomes a guy any girl would want to marry. Overall, this book was very good, and for the vampire lover, a must read"
468,"Compared to the rest of the Nightworld Series it's on a par with The Chosen, that's to say it's good but it's no Witchlight. The best thing about this one is that it centres around everyone's favourite Bad Boy Ash. His soulmate seems like a bit of a weakling at first but you'll soon warm to her."
469,"Out of all L.J.Smiths works this is one of my most highly recommended. If you have read any other books in the Night World series you will have recognized Ash(one of the main characters), who seems to pop up in many scenes. The heroine Mary Lynette is also one of my favorite characters. During the entire novel she dosn't appear as shaken as most would after learning of the Night World,finding her soulmate vampire and befriending 3 rogue vampires. Even if this series is unrealistic what better kind of book to lose yourself in. I find the whole concept of the Night World,wild powers and soulmates fascinating,this book is worth it."
470,"STARNGE FATE come out already! i've been waiting for this book for like a millenium.! oh yah, where was i? DOD is a superb book and i really loved Ash and ML. they are two drastically different characters except for their love for the night and as ML says, &quot;basically incompatible with each other...&quot;! well, i agree with that . they're even dif. in terms of looks and thinking. one black one white. no wonder there is so much problems circling this pair of soulmates. even on the net, i notice most of the fanfics are about ML and Ash and their *swoon* neverending love for ach other. however, they are AWFULLY insecure bout each other. i really hope Ms. Smith will write a book about them to clear up the loose ends........... well, not a boo maybe. but a loong part in a book to let us know the final of this love tragedy? *HOPEFUL*"
471,"This book was the best out of the whole series. The book was pretty much about Rowan, Jade, and Kestrel, three girl vampires that just had enough of the Night World. Mary-Lynnette is a small town girl who loves to look at the stars, but has nobody to look at the stars with her. Ash is a tall, lanky, and elegant vampire that has to find his sisters and bing them back home. But of course his sisters had told Mary-Lynnette and her brother, Mark, bout the Night World. Another twist in the story is that Ash and Mary-Lynnette are soulmates. If this story couldn't get anymore exciting there is a vampire killer running around town. All six of them has to figure out who this vampire killer is and stop him. Meanwhile Ash and Mary-Lynnette has to figure out what to do about each other. If you like or are obsess with vampires (Like me!)you should read this book."
472,"You might have read a lot of vampire-romance novels but this one certainly rates a 10. The story itself has a good plot and amazing characters to suit their purposes. The three sisters, Rowan, Kestrel and Jade, uncannily beatiful, are actually fugitives from Night World and their brother Ash is sent to take them home. Both male and female lead role are superb. Their roles fit them perfectly. Ash, a vampire whose whole life changed after finding his soulmate is a human and Mary-Lynette a girl with a strong character who wasn't really willing to accept the fact that Ash is her soulmate. And of course...the way the authour tells her story and the words she uses..it's absolutely incredible."
473,this is one of my faviotites from the night wolrd series. i luv all of l.j. smiths books. they have a ceartin twist that sets them apart from all the other books neweyz...Ash hates humans he thinks their vermin and he is loooking for his three sisters that ran away from the night world...his three sisters(not human either) went to live with there grandmother only to find she is dead and when they bury her secretly some one is watching...a human saw them and can not believe her eyes but her brother(also human) thinks she is imagening things....and they come togher to try to find out who killed the grandma but at a very high priceits a very good book i recommened it! 8P
474,"I thought Kestrel was pretty cool, but overall, this book was definitely NOT one of LJ's best. HELLO!!! HOw could pretty much everyone here rate this book 9-10???? It was NOT THAT GOOD. My reason is because MARY-LYNETTE S****D&gt; she was another one of LJ's cheesy perfect charactesr and the fact taht she ended up with the vampire hottie was blah, too predictable. It was way too &quot;Happy Ending&quot; for me."
475,I thought this book was cleverly written and very enjoyable...and I just finished it 5 minutes ago! Very good...
476,"I loved this book!!!!!Both me and my best bud Sadia agree that this is probably one of LJSmiths best books.It has everything from romance to mystery--and even though Ash was so terrible in Secret Vampire-you cant help but fall in love with him in this. I hope that we can read more about Ash later. Also, all the girls in this book have really strong characters and you can totally relate to them. Two thumbs up!!!!!!!!"
477,"This book is incredible. It had me hooked from the very beginning. Why does everyone always say that they're in love with Ash? He's a great character, but not perfect in any way. Okay, ehough chit-chat. Read this book, I am serious. Rowan (my favorite!), Kestral, Jade, and Mary-Lynnette are just about the strongest female characters I have read in some time. I can find no flaw in any part of this book, and if you haven't already, READ IT!"
478,This is like the best book of the whole Night World series. I've read all of them and L. J. Smith is one great author. This is my total fave of the series cuz I just luv Ash. He has to be the hottest soulmate out of the whole series followed by Thierry. There just has to be another book with Ash and Mary-Lynette. If I were her I would definitely go with Ash. Mary-Lynette and Ash are perfect for each other both are so lonely and like the stars.
479,"This was one of the best in the whole Night World series, in my opinion. It was interesting, and kept you hooked until the very last page! I hope LJS writes more just like this one!"
480,I loved this book. It was hard to put down. Ash has a weird attitude and is into nepotism but gets out of the habit. In secret Vampire he was sort of more into himself and kind-of portrayed as the relitive that you wish you never had. But in this book he mends his ways. I really recommend this book and the rest of the series. Gurgi
481,"In Secret Vampire you think of Ash as the villian but in Daughters of Darkness you find out that you're way wrong. He is simply a little too self absorbed... but he is very, very, funny. You want to smack Mary Lyynete for not going with. I also liked Jade the twit, Kestrel the fierce, and Rowan the wise. An excelant read."
482,I love all her books every single solitary series! This was the first of her books I have ever read and it got me hooked i am buying it as soon as I can to add to my collection (I almost stole it from the library!) There has too be a sequal just to see waht happens (I have read other NW books but all it has is him mopeing everywhere trying to be good not evil) IT IS THE BEST IF YOU DONT OWN IT GET IT ASAP LIKE ME!!!!!!!!!!!!!!
483,"This is the funniest Night World book. Ash is just so funny and has really werid things t2 say, def. the weridest night world person around. If anything, you've got 2 read it 4 Ash."
484,"I just loved Daughters of Darkness!! I must of read it about 50 times, really! It's such a good story line you just have to read it tunes of times! But it didn't really explain how Jeramey got there. How would he how where they were going?"
485,"This book is my favorite one. I've read it eight times. All of L.J. Smith's books are fantastic; she's my absolute favorite writer. Her writing style is very natural and realistic and her characters are so real, you start looking for them in real life. I fell in love with Ash, especially in how, even though he's a fierce vampire, he's completely helpless when it comes to Mary Lynette. Smith writes the most wonderful characters. I never liked fantasy or romance novels, but her books are a notable exception. My friends think I'm crazy because I'm in college and I'm still reading YA books, but, I'm telling you, her books are ageless!!! If you haven't read this, you're definitely missing out!!!!!!!!!!!!!!"
486,"Thought you would never ever fall in love? So did the hero (if you can call him that) of this story. Ash doesn't particularly like the idea of having to chase his little sisters across the country after they ran away from home. And when he finds them he doesn't exactly love the idea that they have also told humans about the Night World, a secret society of the supernatural. Or the idea that his youngest sister is in love with a human. But what's worse is Ash's soulmate is a smart, beautiful human from a hick town who hates him and everything he stands for. Also, what's worse, his great-aunt is killed with a stake meaning that somebody knew she was a vampire. All this adds up to the worst thing that can happen to a teenage boy who wants to prove that he hates humans, loves fast cars and even faster girls. This is the funniest, most ludicrous book you could ever expect to read from L.J.Smith. The characters are SOO familiar, you might expect to see them in school the next day. A must read for readers of all ages and COMEDY CENTRAL lovers."
487,"L J really outdid herself this time, this was undoubtedly one of the best books she has ever written. if you dont have this book, or don't like it, there is something serouisly wrong with your head, and you need to go see a doctor ASAP!!! I love the part where Ash and Beth are walking in the woods. What they both say and do are and is soooooo roamanitic. I always wish that the night world were real!! I wish I could have a vampire soulmate, the idea of becoming a vampire is really cool, i would love to become one. I don't know whats wrong with Beath!! You can tell Ash loves her from almost the begining.. the first time I read the book, i didnt get one part, but as u can see, i'm not dissing the book for it... the part where ash says &quot;Look...I might as well tell you. I didn't ask for this, and if somebody had said last week that I'd be in...involved... with a human, I'd have knocked his head off. I mean, after howels of derisive laughter. But.&quot; I doidn't catch what he was origenally goning to say... I'd be in LOVE, but he paused and changed the word love to involved. so while she sat there hating him, he loved her!! How blind can a girl get!! theres a fine guy there trippin over her, and she kickes him in the shin!!! twice!oh well. what I really want it a sequel though. I am just dien wonderin what happens. the lasy part where he said goodbye was soo good. If L J ever stops writing I am going to be sooooooo sad. but in conclusion, this was one of her best books. And hey, if u know any of her fan club addresses, e-mail me. I only just discovered the wonder that is LJ Smith. I only have 4 of her books, but am ordering the rest soon. THANK Y O U ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
488,OK I love L.J smiths books not to mention her name because its mine to but anyway She just has to write a sequel with Ash in it I mean who wouldnt' want to be with ash? And If I were Mary I would want to be a vampire I think she should change her mind I mean LISA Please write a sequil I mean You already know it will be bought by how many people wanting it Oh and if you do Thank you so very much.and if anyone has information about her fan clubs could you send it to me please?
489,"I am hopelessly in love with Ash Redfern.I dream at night about being Mary-Lynnette and having him as a soulmate.I read this book 2 times a week,inbetween other books I try to read.I love all LJS books and belong to several of her fan clubs.If you want the address to one of her fan clubs e-mail me."
490,"Man if only it were real.I am totally into this.I spend ALL my spare time reading these books.This book was very cool!I am in total love with James, Quinn, and Theirry.L.J. SMITH should make movies out of these books.I would spend any amount of money to see them.My best friend is so in love with Ash."
491,"Why can't there be guys like Nick, Julian, Gabriel and especially Ash? I am so in love with all of them!"
492,"Why can't Ash be real? I am so in love with him. I think L.J. Smith should stop writing the Night World series. Its watered down. The only really good book was Daughters of Darkness (the Chosen was good too) I think she should stick to triologies, so we can become really attached to those characters, i.e. Julian (still not over his death) Gabriel, Nick, and Stefan. Read all of her trilogies...even better than all her Night World stuff."
